Kennziffer,Raumeinheit,Aggregat,Bevölkerung,Kinos,Kinosäle,Kinositzplätze,Einwohnerdichte,Siedlungs- und Verkehrsfläche,ÖV-Haltestellen,ÖV-Abfahrten
3361003,Dörverden,Grundzentrum,9170,0,0,0,109.81,12.75,36,851
3361005,Kirchlinteln,Grundzentrum,10295,0,0,0,58.94,9.54,99,1701
3361006,Langwedel,Grundzentrum,14654,0,0,0,192.21,15.1,30,878
3361008,Ottersberg,Grundzentrum,13496,0,0,0,136.17,13.17,45,1458
3361009,Oyten,Grundzentrum,16258,0,0,0,256.31,20.76,102,2728
3361013,Thedinghausen,Grundzentrum,8292,0,0,0,126.04,13.36,49,1186
3451001,Apen,Grundzentrum,12226,0,0,0,158.74,16.96,55,1223
3451004,Edewecht,Grundzentrum,22908,0,0,0,201.18,18.28,84,2545
3451008,Wiefelstede,Grundzentrum,16282,0,0,0,152.88,17.24,74,3301
3452002,Baltrum,Grundzentrum,599,1,1,0,92.15,11.85,0,0
3452006,Großefehn,Grundzentrum,14210,0,0,0,111.71,13.95,77,1502
3452007,Großheide,Grundzentrum,8725,0,0,0,125.85,14.32,43,626
3452008,Hage,Grundzentrum,6424,0,0,0,386.52,26.23,12,384
3452011,Hinte,Grundzentrum,7272,0,0,0,151.34,12.78,24,583
3452012,Ihlow,Grundzentrum,12608,0,0,0,102.42,12.8,75,1284
3452013,Juist,Grundzentrum,1552,0,0,0,94.58,6.52,1,9
3452014,Krummhörn,Grundzentrum,11838,0,0,0,74.35,9.53,67,1650
3452017,Marienhafe,Grundzentrum,2456,0,0,0,604.93,35.22,4,233
3452020,Norderney,Grundzentrum,5992,1,1,341,227.75,14.1,43,989
3452023,Südbrookmerland,Grundzentrum,18523,0,0,0,191.31,18.26,75,1629
3452024,Upgant-Schott,Grundzentrum,3809,0,0,0,153.71,13.32,9,217
3452025,Wiesmoor,Grundzentrum,13502,0,0,0,162.79,19.89,60,781
3452027,Dornum,Grundzentrum,4527,0,0,0,58.97,9.63,44,685
3453001,Barßel,Grundzentrum,13601,0,0,0,161.24,15.92,44,1280
3453002,Bösel,Grundzentrum,8895,0,0,0,88.76,11.42,10,192
3453003,Cappeln (Oldenburg),Grundzentrum,7535,0,0,0,98.47,12.21,39,418
3453005,Emstek,Grundzentrum,12535,0,0,0,115.64,16.49,69,1090
3453006,Essen (Oldenburg),Grundzentrum,9101,0,0,0,92.76,13.26,64,926
3453008,Garrel,Grundzentrum,15762,0,0,0,139.01,14.33,39,732
3453009,Lastrup,Grundzentrum,7614,0,0,0,89.02,13.38,45,568
3453010,Lindern (Oldenburg),Grundzentrum,5098,0,0,0,77.48,12.81,29,157
3453011,Löningen,Grundzentrum,13796,1,1,180,96.13,12.37,74,1090
3453012,Molbergen,Grundzentrum,9469,0,0,0,92.33,11.86,29,404
3453013,Saterland,Grundzentrum,14294,0,0,0,115.65,14.64,40,893
3454008,Dörpen,Grundzentrum,5660,0,0,0,171.1,20.41,12,399
3454010,Emsbüren,Grundzentrum,10626,0,0,0,76.13,12.61,69,783
3454011,Esterwegen,Grundzentrum,5546,0,0,0,111.84,11.15,21,95
3454012,Freren,Grundzentrum,5196,0,0,0,106.11,13.5,29,398
3454014,Geeste,Grundzentrum,12027,0,0,0,90.35,12.7,63,1854
3454018,Haren (Ems),Grundzentrum,24498,1,1,145,117.33,14.2,96,1143
3454019,Haselünne,Grundzentrum,13552,1,1,116,85,10.98,75,1073
3454021,Herzlake,Grundzentrum,4886,0,0,0,98.15,14.32,19,253
3454029,Lathen,Grundzentrum,7041,0,0,0,185.05,15.61,13,257
3454031,Lengerich,Grundzentrum,2822,0,0,0,88.97,12.14,18,160
3454044,Rhede (Ems),Grundzentrum,4547,0,0,0,60.64,12.83,40,361
3454045,Salzbergen,Grundzentrum,7951,0,0,0,148.95,16.64,31,266
3454047,Sögel,Grundzentrum,8446,0,0,0,152.84,13.64,16,544
3454049,Spelle,Grundzentrum,10238,0,0,0,299.18,23.09,23,418
3454054,Twist,Grundzentrum,9738,0,0,0,92.15,12.43,48,710
3454057,Werlte,Grundzentrum,10539,0,0,0,165.16,17.77,14,291
3455014,Sande,Grundzentrum,8622,0,0,0,191.94,19.32,35,959
3455015,Schortens,Grundzentrum,20797,0,0,0,302.33,26.08,61,2281
3455020,Wangerland,Grundzentrum,9149,0,0,0,51.93,9.91,85,1646
3455021,Wangerooge,Grundzentrum,1197,1,1,174,240.85,47.48,1,9
3455025,Bockhorn,Grundzentrum,9035,0,0,0,116.93,13.27,40,587
3455027,Zetel,Grundzentrum,12233,1,1,126,150.26,15.01,46,769
3456001,Bad Bentheim,Grundzentrum,16251,0,0,0,162.51,17.63,66,715
3456002,Emlichheim,Grundzentrum,7606,0,0,0,156.34,17.33,30,177
3456014,Neuenhaus,Grundzentrum,10561,0,0,0,336.66,24.99,34,695
3456023,Uelsen,Grundzentrum,5815,0,0,0,298.66,24.6,13,353
3456025,Wietmarschen,Grundzentrum,12742,0,0,0,106.99,13.14,19,347
3456027,Schüttorf,Grundzentrum,13273,0,0,0,682.42,43.14,31,636
3457002,Borkum,Grundzentrum,5171,1,2,482,166.91,15.53,25,401
3457008,Filsum,Grundzentrum,2221,0,0,0,93.52,16.08,15,181
3457010,Hesel,Grundzentrum,4726,0,0,0,107.43,12.37,25,493
3457012,Jemgum,Grundzentrum,3675,0,0,0,46.79,7.96,32,505
3457014,Moormerland,Grundzentrum,24055,0,0,0,196.95,16.34,78,2815
3457017,Ostrhauderfehn,Grundzentrum,11622,0,0,0,227.84,21.11,48,614
3457018,Rhauderfehn,Grundzentrum,18495,0,0,0,179.69,16.93,76,1247
3457020,Uplengen,Grundzentrum,12091,0,0,0,81.25,11.59,92,1065
3457021,Weener,Grundzentrum,15997,0,0,0,196.93,18.01,66,1174
3457022,Westoverledingen,Grundzentrum,21678,0,0,0,193.38,18.53,58,1155
3457024,Bunde,Grundzentrum,7760,0,0,0,64.16,7.74,54,537
3458003,Dötlingen,Grundzentrum,6483,0,0,0,63.55,12.51,59,1160
3458005,Ganderkesee,Grundzentrum,31939,0,0,0,230.71,20.07,157,2945
3458007,Großenkneten,Grundzentrum,16079,0,0,0,91.13,13.09,77,1262
3458008,Harpstedt,Grundzentrum,4780,0,0,0,203.58,16.82,10,183
3458009,Hatten,Grundzentrum,14608,0,0,0,140.76,16.01,78,2452
3458010,Hude (Oldb),Grundzentrum,16372,0,0,0,131.2,15.27,85,928
3458013,Wardenburg,Grundzentrum,16449,0,0,0,138.46,14.76,82,3254
3459002,Ankum,Grundzentrum,8035,1,4,423,121.19,12.58,43,796
3459003,Bad Essen,Grundzentrum,16339,0,0,0,158.12,15.03,76,1571
3459004,Bad Iburg,Grundzentrum,10559,0,0,0,289.53,18.67,36,1195
3459005,Bad Laer,Grundzentrum,9221,0,0,0,196.99,16.24,58,1192
3459006,Bad Rothenfelde,Grundzentrum,8597,1,1,228,472.1,23.89,35,1430
3459008,Belm,Grundzentrum,14095,0,0,0,302.21,17.9,45,2919
3459010,Bersenbrück,Grundzentrum,8850,0,0,0,208.04,17.98,32,746
3459012,Bissendorf,Grundzentrum,14942,0,0,0,154.98,15.2,109,2582
3459013,Bohmte,Grundzentrum,13013,0,0,0,117.52,13.81,79,1608
3459015,Dissen am Teutoburger Wald,Grundzentrum,10638,0,0,0,333.48,21.35,35,1257
3459017,Fürstenau,Grundzentrum,9736,0,0,0,123.8,13.38,44,1141
3459020,Hagen am Teutoburger Wald,Grundzentrum,13500,0,0,0,391.42,22.5,44,1561
3459021,Hasbergen,Grundzentrum,11119,0,0,0,511.92,26.89,26,1824
3459022,Hilter am Teutoburger Wald,Grundzentrum,10511,0,0,0,199.87,15.92,59,2044
3459027,Neuenkirchen,Grundzentrum,4652,0,0,0,80.72,10.39,44,618
3459029,Ostercappeln,Grundzentrum,10251,0,0,0,102.35,12.6,64,1026
3459033,Wallenhorst,Grundzentrum,22989,0,0,0,487.36,27.6,96,4551
3459034,Glandorf,Grundzentrum,6678,0,0,0,111.54,13.18,64,677
3460001,Bakum,Grundzentrum,6734,0,0,0,85.37,13.63,56,910
3460002,Damme,Grundzentrum,17639,1,5,516,168.97,15.82,57,817
3460003,Dinklage,Grundzentrum,13410,0,0,0,184.18,15.95,67,1667
3460004,Goldenstedt,Grundzentrum,10263,0,0,0,115.43,13.78,44,897
3460005,Holdorf,Grundzentrum,7547,0,0,0,137.22,16.62,22,251
3460007,Neuenkirchen-Vörden,Grundzentrum,9230,0,0,0,101.5,12.69,16,229
3460008,Steinfeld (Oldenburg),Grundzentrum,10377,0,0,0,172.81,17.42,27,468
3460010,Visbek,Grundzentrum,10141,0,0,0,120.38,16.08,49,749
3461001,Berne,Grundzentrum,6864,0,0,0,80.66,10.21,59,948
3461003,Butjadingen,Grundzentrum,6121,0,0,0,47.24,8.82,58,1002
3461004,Elsfleth,Grundzentrum,9204,0,0,0,79.9,9.95,54,1087
3461005,Jade,Grundzentrum,5897,0,0,0,62.7,10.6,75,886
3461006,Lemwerder,Grundzentrum,7147,0,0,0,196.35,16.65,34,761
3461008,Ovelgönne,Grundzentrum,5405,0,0,0,43.49,8.52,92,1403
3461009,Stadland,Grundzentrum,7528,0,0,0,65.95,10.03,66,1033
3462003,Esens,Grundzentrum,7427,0,0,0,342.73,24.23,20,826
3462005,Friedeburg,Grundzentrum,10458,0,0,0,63.87,10.55,70,1073
3462007,Langeoog,Grundzentrum,1747,1,2,208,88.55,9.98,0,0
3462014,Spiekeroog,Grundzentrum,841,0,0,0,46.34,4.24,0,0
3462018,Westerholt,Grundzentrum,2692,0,0,0,184.13,18.81,4,112
5154004,Bedburg-Hau,Grundzentrum,13341,0,0,0,217.6,18.27,39,1375
5154020,Issum,Grundzentrum,12364,0,0,0,225.87,17.23,26,1032
5154024,Kalkar,Grundzentrum,14191,0,0,0,160.9,14.44,70,1436
5154028,Kerken,Grundzentrum,12750,0,0,0,219.19,14.56,30,839
5154040,Kranenburg,Grundzentrum,11181,0,0,0,145.42,10.87,86,1720
5154044,Rees,Grundzentrum,21475,0,0,0,195.48,13.15,62,1966
5154048,Rheurdt,Grundzentrum,6566,0,0,0,218.65,15.72,17,530
5154052,Straelen,Grundzentrum,16365,0,0,0,221.15,21.65,83,1325
5154056,Uedem,Grundzentrum,8513,0,0,0,139.72,11,43,437
5154060,Wachtendonk,Grundzentrum,8225,0,0,0,170.75,15.32,27,440
5154064,Weeze,Grundzentrum,11587,0,0,0,145.77,16.12,16,619
5162012,Jüchen,Grundzentrum,23940,0,0,0,332.32,17.32,49,2454
5162028,Rommerskirchen,Grundzentrum,13580,0,0,0,226.03,15.35,39,2107
5166004,Brüggen,Grundzentrum,16082,0,0,0,262.78,17.04,38,1769
5166008,Grefrath,Grundzentrum,14880,0,0,0,480.31,25.37,26,1930
5166020,Niederkrüchten,Grundzentrum,15170,0,0,0,226.18,23.53,39,2421
5170004,Alpen,Grundzentrum,12649,0,0,0,212.23,16.48,62,1288
5170016,Hünxe,Grundzentrum,13787,0,0,0,129.03,15.01,42,786
5170036,Schermbeck,Grundzentrum,13479,0,0,0,121.75,11.36,40,1250
5170040,Sonsbeck,Grundzentrum,8747,0,0,0,157.86,14.35,30,660
5334024,Roetgen,Grundzentrum,8727,0,0,0,223.6,13.63,31,2200
5334028,Simmerath,Grundzentrum,15841,0,0,0,142.81,13.56,73,2499
5358004,Aldenhoven,Grundzentrum,14081,0,0,0,318.21,18.17,31,1595
5358012,Heimbach,Grundzentrum,4365,0,0,0,67.2,9.28,23,479
5358016,Hürtgenwald,Grundzentrum,8929,0,0,0,101.41,10.56,36,1435
5358020,Inden,Grundzentrum,7507,0,0,0,208.99,13.08,21,1263
5358028,Kreuzau,Grundzentrum,17687,0,0,0,423.84,22.5,41,1906
5358032,Langerwehe,Grundzentrum,14257,0,0,0,343.87,17.92,40,2023
5358036,Linnich,Grundzentrum,13015,0,0,0,198.91,13.62,38,1802
5358040,Merzenich,Grundzentrum,10302,0,0,0,271.61,15.63,26,1277
5358044,Nideggen,Grundzentrum,10419,0,0,0,160.19,14.84,37,1065
5358048,Niederzier,Grundzentrum,14345,0,0,0,226.05,13.82,27,1392
5358052,Nörvenich,Grundzentrum,11064,0,0,0,167.1,14.41,33,1501
5358056,Titz,Grundzentrum,8686,0,0,0,126.62,11.9,31,1199
5358060,Vettweiß,Grundzentrum,9811,0,0,0,117.99,9.86,24,1072
5362016,Elsdorf,Grundzentrum,22021,1,2,279,332.79,15.73,33,1936
5366004,Bad Münstereifel,Grundzentrum,17282,0,0,0,114.58,12.8,99,1345
5366008,Blankenheim,Grundzentrum,8433,0,0,0,56.74,10.34,63,1354
5366012,Dahlem,Grundzentrum,4400,0,0,0,46.21,9.11,28,463
5366020,Hellenthal,Grundzentrum,7925,0,0,0,57.5,9.88,91,1376
5366024,Kall,Grundzentrum,11112,0,0,0,168.19,15.94,55,1074
5366032,Nettersheim,Grundzentrum,7991,0,0,0,84.7,11.55,37,791
5366040,Weilerswist,Grundzentrum,17763,0,0,0,310.7,17.75,44,1283
5366044,Zülpich,Grundzentrum,21025,0,0,0,208.15,15.19,61,2302
5370008,Gangelt,Grundzentrum,13240,0,0,0,271.76,21.18,48,1502
5370024,Selfkant,Grundzentrum,10557,0,0,0,250.82,18.03,39,1326
5370032,Waldfeucht,Grundzentrum,9164,0,0,0,302.74,21.04,29,899
5370036,Wassenberg,Grundzentrum,19339,0,0,0,455.79,24.72,37,1909
5374004,Bergneustadt,Grundzentrum,18633,0,0,0,491.77,25.89,51,2602
5374016,Hückeswagen,Grundzentrum,14825,0,0,0,293.45,17.62,28,956
5374020,Lindlar,Grundzentrum,21665,0,0,0,252.27,17.8,91,2916
5374024,Marienheide,Grundzentrum,13710,0,0,0,249.41,18.41,57,1521
5374028,Morsbach,Grundzentrum,10293,0,0,0,183.93,18.46,56,1422
5374032,Nümbrecht,Grundzentrum,17486,0,0,0,243.61,19.94,77,1852
5374040,Reichshof,Grundzentrum,18610,0,0,0,162.31,18.37,61,2037
5374048,Wiehl,Grundzentrum,25314,0,0,0,475.29,31.15,69,2398
5378008,Burscheid,Grundzentrum,18968,0,0,0,694.04,30.22,40,2745
5378012,Kürten,Grundzentrum,20128,0,0,0,299.12,17.67,103,3899
5378020,Odenthal,Grundzentrum,15324,0,0,0,384.35,17.73,55,3024
5378024,Overath,Grundzentrum,27405,0,0,0,397.87,22.07,73,2742
5378028,Rösrath,Grundzentrum,28889,0,0,0,744.56,26.7,68,2521
5382004,Alfter,Grundzentrum,23904,0,0,0,687.49,23.5,39,3616
5382032,Meckenheim,Grundzentrum,24877,0,0,0,714.04,27.15,33,4302
5382036,Much,Grundzentrum,14758,0,0,0,189.06,17.61,49,1451
5382040,Neunkirchen-Seelscheid,Grundzentrum,20109,0,0,0,397.25,22.52,27,1290
5382052,Ruppichteroth,Grundzentrum,10637,0,0,0,171.68,13.62,31,1304
5382064,Swisttal,Grundzentrum,18653,0,0,0,299.79,17.5,55,3123
5382072,Wachtberg,Grundzentrum,20581,1,1,45,414.27,20.29,49,3753
5382076,Windeck,Grundzentrum,19203,0,0,0,179.1,18.34,66,2011
5554016,Gescher,Grundzentrum,17361,0,0,0,214.76,16.85,27,918
5554024,Heek,Grundzentrum,8830,0,0,0,127.18,12.8,78,1095
5554028,Heiden,Grundzentrum,8317,0,0,0,155.78,13.71,26,618
5554032,Isselburg,Grundzentrum,11208,0,0,0,261.87,20.05,11,429
5554036,Legden,Grundzentrum,7564,0,0,0,134.4,13.38,25,501
5554040,Raesfeld,Grundzentrum,11832,0,0,0,204.18,14.36,20,663
5554044,Reken,Grundzentrum,15336,0,0,0,194.77,15.93,40,1339
5554048,Rhede,Grundzentrum,19595,0,0,0,248.35,15.18,54,736
5554052,Schöppingen,Grundzentrum,6651,0,0,0,96.66,11.44,29,405
5554060,Südlohn,Grundzentrum,9616,0,0,0,212.32,15.94,26,812
5554064,Velen,Grundzentrum,13304,0,0,0,188.04,13.99,27,530
5558004,Ascheberg,Grundzentrum,15822,0,0,0,148.81,12.85,127,1384
5558008,Billerbeck,Grundzentrum,11681,1,1,400,127.86,12.18,113,799
5558020,Havixbeck,Grundzentrum,12141,0,0,0,228.34,13.33,64,1390
5558028,Nordkirchen,Grundzentrum,10402,0,0,0,198.47,14.35,61,1123
5558032,Nottuln,Grundzentrum,19901,0,0,0,232.3,14.93,117,2574
5558036,Olfen,Grundzentrum,13253,0,0,0,252.78,15.72,81,860
5558040,Rosendahl,Grundzentrum,10840,0,0,0,114.72,11.38,75,1317
5558044,Senden,Grundzentrum,20895,0,0,0,190.91,13.04,186,2702
5566004,Altenberge,Grundzentrum,10415,0,0,0,165.42,14.15,31,1764
5566016,Hörstel,Grundzentrum,20766,0,0,0,193.1,17.81,83,1060
5566020,Hopsten,Grundzentrum,7789,0,0,0,78.02,9.96,97,1474
5566024,Horstmar der Burgmannshöfe,Grundzentrum,7382,0,0,0,164.92,12.13,49,918
5566032,Ladbergen,Grundzentrum,7007,0,0,0,133.85,15.47,68,742
5566036,Laer,Grundzentrum,6805,0,0,0,192.99,12.65,51,864
5566044,Lienen,Grundzentrum,8783,0,0,0,119.59,12.19,46,767
5566048,Lotte,Grundzentrum,14314,0,0,0,379.78,25.52,75,4146
5566052,Metelen,Grundzentrum,6552,0,0,0,162.66,13.16,14,656
5566056,Mettingen,Grundzentrum,12000,0,0,0,295.57,21.75,71,1774
5566060,Neuenkirchen,Grundzentrum,14072,0,0,0,290.5,18.89,19,702
5566064,Nordwalde,Grundzentrum,9807,0,0,0,190.06,12.69,33,1126
5566072,Recke,Grundzentrum,11370,0,0,0,211.77,16.5,61,1331
5566080,Saerbeck,Grundzentrum,7128,0,0,0,120.75,11.47,55,966
5566088,Tecklenburg,Grundzentrum,9288,0,0,0,131.76,13.63,69,1050
5566092,Westerkappeln,Grundzentrum,11485,0,0,0,133.81,14.4,69,1942
5566096,Wettringen,Grundzentrum,8314,0,0,0,144.12,13.14,51,894
5570012,Beelen,Grundzentrum,6247,0,0,0,199.27,16.91,6,156
5570016,Drensteinfurt,Grundzentrum,15874,0,0,0,148.91,11.67,36,739
5570020,Ennigerloh,Grundzentrum,19757,1,2,80,157.35,13.53,133,2016
5570024,Everswinkel,Grundzentrum,9733,0,0,0,140.94,11.54,51,1526
5570032,Ostbevern,Grundzentrum,11500,0,0,0,128.28,11.47,57,1002
5570036,Sassenberg,Grundzentrum,14455,0,0,0,185.13,15.42,26,775
5570040,Sendenhorst,Grundzentrum,13671,0,0,0,141.01,10.43,62,1806
5570044,Telgte,Grundzentrum,20222,0,0,0,222.46,16.04,94,1701
5570048,Wadersloh,Grundzentrum,12863,0,0,0,109.91,11.2,127,1426
5754004,Borgholzhausen,Grundzentrum,9253,0,0,0,165.26,15.02,44,1167
5754016,Harsewinkel,Grundzentrum,25999,0,0,0,258.47,15.77,127,1958
5754020,Herzebrock-Clarholz,Grundzentrum,16379,0,0,0,206.6,14.51,94,1775
5754024,Langenberg,Grundzentrum,8747,0,0,0,228.32,15.11,12,532
5754036,Schloß Holte-Stukenbrock,Grundzentrum,27467,1,1,195,406.8,24.53,67,2338
5754040,Steinhagen,Grundzentrum,20671,0,0,0,366.44,21.98,71,1914
5754044,Verl,Grundzentrum,25522,0,0,0,357.6,22.45,81,2075
5754048,Versmold,Grundzentrum,22274,0,0,0,260.3,18.36,100,1694
5754052,Werther (Westf.),Grundzentrum,11229,0,0,0,317.02,18.89,36,1324
5758008,Enger,Grundzentrum,20705,0,0,0,502.06,28.35,53,2540
5758016,Hiddenhausen,Grundzentrum,19924,0,0,0,834.69,43.61,54,2343
5758020,Kirchlengern,Grundzentrum,16366,1,1,50,484.49,31.53,60,1486
5758028,Rödinghausen,Grundzentrum,9891,0,0,0,272.7,23.93,35,432
5758032,Spenge,Grundzentrum,14416,1,1,202,357.27,21.19,54,2127
5762012,Borgentreich,Grundzentrum,8761,1,3,330,63.06,8.41,57,1575
5762024,Marienmünster,Grundzentrum,4970,0,0,0,77.22,10.46,27,570
5762028,Nieheim,Grundzentrum,6157,0,0,0,77.24,10.11,35,1203
5762040,Willebadessen,Grundzentrum,8288,0,0,0,64.54,8.11,48,1013
5766004,Augustdorf,Grundzentrum,10365,0,0,0,245.73,16.31,20,582
5766024,Dörentrup,Grundzentrum,7660,0,0,0,153.85,13.34,30,1030
5766028,Extertal,Grundzentrum,11004,0,0,0,118.98,12.51,83,1769
5766036,Kalletal,Grundzentrum,13401,0,0,0,119.2,11.85,101,2135
5766048,Leopoldshöhe,Grundzentrum,16614,0,0,0,449.88,24.83,57,3192
5766052,Lügde der Osterräder,Grundzentrum,9364,0,0,0,105.64,11.41,60,1172
5766056,Oerlinghausen,Grundzentrum,17238,0,0,0,527.32,27.35,58,3383
5766060,Schieder-Schwalenberg,Grundzentrum,8363,0,0,0,139.29,12.26,45,1830
5766064,Schlangen,Grundzentrum,9357,0,0,0,123.17,9.73,20,1083
5770012,Hille,Grundzentrum,15728,0,0,0,152.71,16.99,94,1658
5770016,Hüllhorst,Grundzentrum,13281,0,0,0,297.11,22.35,47,1266
5770036,Preußisch Oldendorf,Grundzentrum,12531,0,0,0,182.24,16.06,53,1289
5770040,Rahden,Grundzentrum,15773,1,5,561,114.73,14.37,67,1270
5770044,Stemwede,Grundzentrum,13311,0,0,0,80.12,12.42,78,1443
5774004,Altenbeken,Grundzentrum,9212,0,0,0,120.86,10.64,28,1261
5774008,Bad Lippspringe,Grundzentrum,16808,1,1,100,329.5,16.47,14,1310
5774012,Borchen,Grundzentrum,13685,0,0,0,177.08,13.13,43,2320
5774024,Hövelhof,Grundzentrum,16522,0,0,0,233.56,16.64,76,1999
5774028,Lichtenau,Grundzentrum,10867,0,0,0,56.43,7.91,61,1743
5774036,Salzkotten,Grundzentrum,25311,0,0,0,230.52,17.27,94,2781
5774040,Bad Wünnenberg,Grundzentrum,12341,0,0,0,76.51,9.97,53,1303
5954004,Breckerfeld,Grundzentrum,9041,0,0,0,153,9.05,69,2120
5958008,Bestwig,Grundzentrum,10695,0,0,0,153.97,14.34,49,1716
5958016,Eslohe (Sauerland),Grundzentrum,8920,0,0,0,78.69,11.12,90,1833
5958020,Hallenberg,Grundzentrum,4537,0,0,0,69.43,11.37,20,693
5958028,Medebach,Grundzentrum,8101,0,0,0,64.27,9.73,42,1769
5958036,Olsberg,Grundzentrum,14509,0,0,0,122.96,12.02,60,2776
5962008,Balve,Grundzentrum,11143,0,0,0,148.95,11.24,71,853
5962012,Halver,Grundzentrum,16347,0,0,0,211.67,12.72,139,2704
5962020,Herscheid,Grundzentrum,6954,0,0,0,117.07,9.12,80,1478
5962028,Kierspe,Grundzentrum,16422,0,0,0,228.37,11.43,117,2742
5962044,Nachrodt-Wiblingwerde,Grundzentrum,6466,0,0,0,222.74,12.26,59,1409
5962048,Neuenrade,Grundzentrum,11793,0,0,0,217.99,12.66,91,2194
5962056,Schalksmühle,Grundzentrum,10284,0,0,0,269.99,17.33,94,2781
5966008,Drolshagen,Grundzentrum,11763,0,0,0,175.28,16.64,72,1403
5966012,Finnentrop,Grundzentrum,16851,1,1,192,161.38,14.89,66,1864
5966016,Kirchhundem,Grundzentrum,11445,0,0,0,77,9.41,66,1979
5966028,Wenden,Grundzentrum,19565,0,0,0,269.64,20.69,60,2738
5970008,Burbach,Grundzentrum,15315,0,0,0,192.11,17.11,46,1772
5970012,Erndtebrück,Grundzentrum,6970,0,0,0,98.2,12,40,952
5970016,Freudenberg,Grundzentrum,17773,0,0,0,325.51,23.1,84,3879
5970020,Hilchenbach,Grundzentrum,14775,1,1,364,182.14,14.73,50,1768
5970032,Netphen,Grundzentrum,23363,0,0,0,170.05,13.63,103,4390
5970044,Wilnsdorf,Grundzentrum,19793,0,0,0,274.75,20.31,65,4222
5974004,Anröchte,Grundzentrum,10359,0,0,0,140.38,14.2,35,492
5974008,Bad Sassendorf,Grundzentrum,12451,0,0,0,196.2,15.3,61,1687
5974012,Ense,Grundzentrum,12326,0,0,0,241.31,17.17,50,1176
5974016,Erwitte,Grundzentrum,16333,0,0,0,182.68,15.41,68,933
5974024,Lippetal,Grundzentrum,11966,0,0,0,94.51,10.39,77,651
5974032,Möhnesee,Grundzentrum,11869,0,0,0,96.11,10.77,82,1451
5974036,Rüthen,Grundzentrum,10957,0,0,0,69.28,9.33,56,1671
5974048,Welver,Grundzentrum,11966,0,0,0,139.76,12.28,89,750
5974056,Wickede (Ruhr),Grundzentrum,12967,0,0,0,513.75,24.84,40,1092
5978008,Bönen,Grundzentrum,18438,0,0,0,484.7,26.92,83,2076
5978012,Fröndenberg/Ruhr,Grundzentrum,20548,0,0,0,365.43,23.53,99,2810
5978016,Holzwickede,Grundzentrum,17298,0,0,0,773.61,44.54,53,1939
6431001,Abtsteinach,Grundzentrum,2476,0,0,0,224.68,12.34,5,255
6431003,Biblis,Grundzentrum,9170,1,1,132,226.59,20.09,11,548
6431004,Birkenau,Grundzentrum,9926,0,0,0,404.48,16.71,27,853
6431006,Einhausen,Grundzentrum,6596,0,0,0,247.32,10.54,8,484
6431007,Fürth,Grundzentrum,10751,0,0,0,279.9,13.72,26,1252
6431008,Gorxheimertal,Grundzentrum,4156,0,0,0,397.7,13.97,13,826
6431009,Grasellenbach,Grundzentrum,4137,0,0,0,180.81,10.75,15,544
6431010,Groß-Rohrheim,Grundzentrum,3698,0,0,0,189.06,13.65,6,143
6431012,Hirschhorn (Neckar),Grundzentrum,3449,0,0,0,111.8,7.36,15,569
6431014,Lautertal (Odenwald),Grundzentrum,7214,0,0,0,234.6,12.94,28,1201
6431015,Lindenfels,Grundzentrum,5411,0,0,0,256.57,14.13,20,893
6431017,Mörlenbach,Grundzentrum,10166,0,0,0,373.48,17.6,20,252
6431018,Neckarsteinach,Grundzentrum,4016,0,0,0,232.95,13.17,13,511
6431019,Rimbach,Grundzentrum,8883,0,0,0,383.55,15.8,12,343
6431021,Wald-Michelbach,Grundzentrum,10791,0,0,0,145.22,8.69,36,1537
6431022,Zwingenberg,Grundzentrum,7203,0,0,0,1272.61,39.4,10,453
6432001,Alsbach-Hähnlein,Grundzentrum,9178,0,0,0,581.99,24.48,10,893
6432002,Babenhausen,Grundzentrum,17409,0,0,0,260.42,14.17,25,1349
6432003,Bickenbach,Grundzentrum,6148,0,0,0,663.93,27.97,6,428
6432005,Eppertshausen,Grundzentrum,6340,0,0,0,483.6,17.54,4,249
6432006,Erzhausen,Grundzentrum,8153,0,0,0,1101.76,27.97,5,324
6432007,Fischbachtal,Grundzentrum,2759,0,0,0,207.91,13.72,10,375
6432009,Groß-Bieberau,Grundzentrum,4782,0,0,0,261.74,13.96,11,905
6432011,Groß-Zimmern,Grundzentrum,14687,0,0,0,690.83,22.77,13,710
6432012,Messel,Grundzentrum,4194,0,0,0,283,21.19,6,472
6432013,Modautal,Grundzentrum,5137,0,0,0,161.59,12.96,21,1470
6432014,Mühltal,Grundzentrum,13922,0,0,0,549.41,21.43,32,2592
6432015,Münster (Hessen),Grundzentrum,14566,1,1,194,700.96,21.99,9,555
6432016,Ober-Ramstadt,Grundzentrum,15252,0,0,0,364.18,15.69,47,2951
6432017,Otzberg,Grundzentrum,6540,0,0,0,155.94,10.78,21,791
6432019,Reinheim,Grundzentrum,16603,0,0,0,599.39,25.27,13,1900
6432020,Roßdorf,Grundzentrum,12898,0,0,0,626.12,24.42,15,1560
6432021,Schaafheim,Grundzentrum,9346,0,0,0,290.61,13.99,19,1706
6432022,Seeheim-Jugenheim,Grundzentrum,16627,0,0,0,593.82,20.89,25,1361
6433001,Biebesheim am Rhein,Grundzentrum,6675,0,0,0,357.33,24.68,4,434
6433002,Bischofsheim,Grundzentrum,13176,0,0,0,1459.14,53.71,13,1785
